Publication_Author,Publication_Journal,Publication_Year,Publication_ID,Taxa,Phylum,Class,Order,Family,Genus,Species,Broad_Group,Observed_ED,Predicted_ED,Assignment_Level,Assigned_Lookup_Name,Absolute_Error,APE,n_raw_records
Abitia-Cardenas et al.,Fishery Bulletin,1997,Abitia-Cardenas et al. | Fishery Bulletin | 1997,Balistes polylepis,Chordata,Teleostei,Tetraodontiformes,Balistidae,Balistes,polylepis,Teleostei,6.19,5.62,Broad group,Teleostei,0.57,9.2084006462,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Merluccius albidus,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,albidus,Teleostei,6.17,3.99,Genus,Merluccius,2.18,35.3322528363,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Metapenaeopsis goodei,Arthropoda,Malacostraca,Decapoda,Penaeidae,Metapenaeopsis,goodei,Crustacea,5.22,3.84,Family,Penaeidae,1.38,26.4367816092,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Molpadia oolitica,Echinodermata,Holothuroidea,Molpadida,Molpadiidae,Molpadia,oolitica,Other invertebrates,1.22,3.0,Broad group,Other invertebrates,1.78,145.9016393443,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Myctophum affine,Chordata,Teleostei,Myctophiformes,Myctophidae,Myctophum,affine,Teleostei,7.74,7.0,Family,Myctophidae,0.74,9.5607235142,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Nemichthys scolopaceus,Chordata,Teleostei,Anguilliformes,Nemichthyidae,Nemichthys,scolopaceus,Teleostei,9.95,5.62,Broad group,Teleostei,4.33,43.5175879397,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Nezumia bairdii,Chordata,Teleostei,Gadiformes,Macrouridae,Nezumia,bairdii,Teleostei,3.83,5.1,Family,Macrouridae,1.27,33.1592689295,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Ommastrephes caroli,Mollusca,Cephalopoda,Teuthida,Ommastrephidae,Ommastrephes,caroli,Cephalopoda,4.14,4.4,Family,Ommastrephidae,0.26,6.2801932367,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Ophiura sarsi,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,sarsi,Other invertebrates,2.63,3.0,Broad group,Other invertebrates,0.37,14.0684410646,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Paelopatides gigantea,Echinodermata,Holothuroidea,Synallactida,Synallactidae,Paelopatides,gigantea,Other invertebrates,0.79,3.0,Broad group,Other invertebrates,2.21,279.746835443,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Pandalus borealis,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,borealis,Crustacea,6.83,3.9,Broad group,Crustacea,2.93,42.8989751098,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Pandalus montagui,Arthropoda,Malacostraca,Decapoda,Pandalidae,Pandalus,montagui,Crustacea,4.88,3.9,Broad group,Crustacea,0.98,20.0819672131,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Paragorgia arborea,Cnidaria,Anthozoa,Alcyonacea,Paragorgiidae,Paragorgia,arborea,Cnidaria,2.83,0.7,Broad group,Cnidaria,2.13,75.2650176678,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Pennatula aculeata,Cnidaria,Anthozoa,Pennatulacea,Pennatulidae,Pennatula,aculeata,Cnidaria,2.07,0.7,Broad group,Cnidaria,1.37,66.1835748792,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Phycis chesteri,Chordata,Teleostei,Gadiformes,Gadidae,Phycis,chesteri,Teleostei,6.53,5.0,Genus,Phycis,1.53,23.4303215926,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Pleoticus robustus,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Pleoticus,robustus,Crustacea,5.24,3.9,Broad group,Crustacea,1.34,25.572519084,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Poecilasma inaequilaterale,Arthropoda,Maxillopoda,Pedunculata,Poecilasmatidae,Poecilasma,inaequilaterale,Crustacea,4.17,3.9,Broad group,Crustacea,0.27,6.4748201439,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Polyipnus asteroides,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Polyipnus,asteroides,Teleostei,8.25,3.85,Family,Sternoptychidae,4.4,53.3333333333,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Polymixia lowei,Chordata,Teleostei,Polymixiiformes,Polymixiidae,Polymixia,lowei,Teleostei,6.66,5.62,Broad group,Teleostei,1.04,15.6156156156,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Primnoa resedaeformis,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Primnoa,resedaeformis,Cnidaria,3.03,0.7,Broad group,Cnidaria,2.33,76.897689769,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Promethichthys prometheus,Chordata,Teleostei,Perciformes,Gempylidae,Promethichthys,prometheus,Teleostei,5.24,5.62,Broad group,Teleostei,0.38,7.2519083969,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Pseudarchaster parelii,Echinodermata,Asteroidea,Paxillosida,Pseudarchasteridae,Pseudarchaster,parelii,Other invertebrates,2.49,3.0,Broad group,Other invertebrates,0.51,20.4819277108,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Pyrosoma atlanticum,Chordata,Thaliacea,Pyrosomida,Pyrosomatidae,Pyrosoma,atlanticum,Other invertebrates,0.65,3.0,Broad group,Other invertebrates,2.35,361.5384615385,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Scyliorhinus retifer,Chordata,Chondrichthyes,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,retifer,Chondrichthyes,6.63,6.4,Genus,Scyliorhinus,0.23,3.4690799397,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Semirossia tenera,Mollusca,Cephalopoda,Sepiolida,Sepiolidae,Semirossia,tenera,Cephalopoda,8.72,4.8,Family,Sepiolidae,3.92,44.9541284404,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Solemya grandis,Mollusca,Bivalvia,Solemyida,Solemyidae,Solemya,grandis,Mollusca (non-cephalopods),5.76,2.14,Broad group,Mollusca (non-cephalopods),3.62,62.8472222222,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Sternaspis fossor,Annelida,Polychaeta,Terebellida,Sternaspidae,Sternaspis,fossor,Annelida,3.13,1.28,Broad group,Annelida,1.85,59.1054313099,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Stomias boa ferox,Chordata,Teleostei,Stomiiformes,Stomiidae,Stomias,ferox,Teleostei,3.47,2.8,Genus,Stomias,0.67,19.3083573487,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Synagrops bellus,Chordata,Teleostei,Perciformes,Acropomatidae,Synagrops,bellus,Teleostei,6.65,5.62,Broad group,Teleostei,1.03,15.4887218045,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Syscenus infelix,Arthropoda,Malacostraca,Isopoda,Aegidae,Syscenus,infelix,Crustacea,7.24,3.9,Broad group,Crustacea,3.34,46.1325966851,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Thyasira flexuosa,Mollusca,Bivalvia,Lucinida,Thyasiridae,Thyasira,flexuosa,Mollusca (non-cephalopods),1.42,2.14,Broad group,Mollusca (non-cephalopods),0.72,50.7042253521,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Typhlonida valida,Arthropoda,Malacostraca,Decapoda,Munididae,Typhlonida,valida,Crustacea,3.41,3.9,Broad group,Crustacea,0.49,14.3695014663,1
Steimle and Terranova,Deep-Sea Research,1988,Steimle and Terranova | Deep-Sea Research | 1988,Zenopsis conchifera,Chordata,Teleostei,Zeiformes,Zeidae,Zenopsis,conchifera,Teleostei,2.78,5.62,Broad group,Teleostei,2.84,102.1582733813,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Anoplogaster cornuta,Chordata,Teleostei,Beryciformes,Anoplogastridae,Anoplogaster,cornuta,Teleostei,1.73,5.62,Broad group,Teleostei,3.89,224.8554913295,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Argyropelecus aculeatus,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Argyropelecus,aculeatus,Teleostei,3.09,3.5,Genus,Argyropelecus,0.41,13.2686084142,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Argyropelecus hemigymnus,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Argyropelecus,hemigymnus,Teleostei,3.01,3.5,Genus,Argyropelecus,0.49,16.2790697674,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Bathylagus longirostris,Chordata,Teleostei,Osmeriformes,Bathylagidae,Bathylagus,longirostris,Teleostei,1.87,5.62,Broad group,Teleostei,3.75,200.5347593583,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Benthosema suborbitale,Chordata,Teleostei,Myctophiformes,Myctophidae,Benthosema,suborbitale,Teleostei,3.41,5.9,Genus,Benthosema,2.49,73.0205278592,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Bolinichthys photothorax,Chordata,Teleostei,Myctophiformes,Myctophidae,Bolinichthys,photothorax,Teleostei,3.6,7.0,Family,Myctophidae,3.4,94.4444444444,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Centrobranchus nigroocellatus,Chordata,Teleostei,Myctophiformes,Myctophidae,Centrobranchus,nigroocellatus,Teleostei,2.21,7.0,Family,Myctophidae,4.79,216.742081448,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Cyclothone pallida,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Cyclothone,pallida,Teleostei,2.41,5.62,Broad group,Teleostei,3.21,133.1950207469,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Diaphus dumerilii,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,dumerilii,Teleostei,3.55,7.0,Family,Myctophidae,3.45,97.1830985915,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Diaphus effulgens,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,effulgens,Teleostei,3.1,7.0,Family,Myctophidae,3.9,125.8064516129,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Diaphus lucidus,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,lucidus,Teleostei,4.08,7.0,Family,Myctophidae,2.92,71.568627451,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Diaphus mollis,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,mollis,Teleostei,3.7,7.0,Family,Myctophidae,3.3,89.1891891892,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Diaphus splendidus,Chordata,Teleostei,Myctophiformes,Myctophidae,Diaphus,splendidus,Teleostei,3.76,7.0,Family,Myctophidae,3.24,86.170212766,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Gonichthys cocco,Chordata,Teleostei,Myctophiformes,Myctophidae,Gonichthys,cocco,Teleostei,3.81,7.0,Family,Myctophidae,3.19,83.7270341207,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Gonostoma elongatum,Chordata,Teleostei,Stomiiformes,Gonostomatidae,Gonostoma,elongatum,Teleostei,2.25,5.62,Broad group,Teleostei,3.37,149.7777777778,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Hygophum benoiti,Chordata,Teleostei,Myctophiformes,Myctophidae,Hygophum,benoiti,Teleostei,3.98,7.0,Family,Myctophidae,3.02,75.8793969849,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Hygophum reinhardtii,Chordata,Teleostei,Myctophiformes,Myctophidae,Hygophum,reinhardtii,Teleostei,4.4,7.0,Family,Myctophidae,2.6,59.0909090909,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Lampadena luminosa,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampadena,luminosa,Teleostei,3.07,7.0,Family,Myctophidae,3.93,128.013029316,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Lampanyctus alatus,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,alatus,Teleostei,3.84,4.1,Genus,Lampanyctus,0.26,6.7708333333,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Lampanyctus lineatus,Chordata,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,lineatus,Teleostei,1.72,4.1,Genus,Lampanyctus,2.38,138.3720930233,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Lepidophanes guentheri,Chordata,Teleostei,Myctophiformes,Myctophidae,Lepidophanes,guentheri,Teleostei,3.42,7.0,Family,Myctophidae,3.58,104.6783625731,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Melamphaes longivelis,Chordata,Teleostei,Stephanoberyciformes,Melamphaidae,Melamphaes,longivelis,Teleostei,2.79,5.62,Broad group,Teleostei,2.83,101.4336917563,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Myctophum nitidulum,Chordata,Teleostei,Myctophiformes,Myctophidae,Myctophum,nitidulum,Teleostei,3.18,7.0,Family,Myctophidae,3.82,120.1257861635,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Notolychnus valdiviae,Chordata,Teleostei,Myctophiformes,Myctophidae,Notolychnus,valdiviae,Teleostei,5.97,7.0,Family,Myctophidae,1.03,17.2529313233,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Notoscopelus resplendens,Chordata,Teleostei,Myctophiformes,Myctophidae,Notoscopelus,resplendens,Teleostei,3.77,7.9,Genus,Notoscopelus,4.13,109.549071618,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Scopelogadus mizolepis,Chordata,Teleostei,Stephanoberyciformes,Melamphaidae,Scopelogadus,mizolepis,Teleostei,1.91,5.62,Broad group,Teleostei,3.71,194.2408376963,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Sternoptyx diaphana,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Sternoptyx,diaphana,Teleostei,2.87,3.85,Family,Sternoptychidae,0.98,34.1463414634,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Sternoptyx pseudobscura,Chordata,Teleostei,Stomiiformes,Sternoptychidae,Sternoptyx,pseudobscura,Teleostei,2.21,3.85,Family,Sternoptychidae,1.64,74.2081447964,1
Stickney and Torres,Marine Biology,1989,Stickney and Torres | Marine Biology | 1989,Taaningichthys bathyphilus,Chordata,Teleostei,Myctophiformes,Myctophidae,Taaningichthys,bathyphilus,Teleostei,2.98,7.0,Family,Myctophidae,4.02,134.8993288591,1
Takahashi et al.,Marine Biology,2001,Takahashi et al. | Marine Biology | 2001,Engraulis japonicus,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,japonicus,Teleostei,6.26,6.825,Genus,Engraulis,0.565,9.0255591054,3
Tamura,JARPNII Review,2016,Tamura | JARPNII Review | 2016,Engraulis japonicus,Chordata,Teleostei,Clupeiformes,Engraulidae,Engraulis,japonicus,Teleostei,5.085,6.825,Genus,Engraulis,1.74,34.2182890855,4
Tamura,JARPNII Review,2016,Tamura | JARPNII Review | 2016,Gadus chalcogrammus,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,chalcogrammus,Teleostei,6.075,4.7,Family,Gadidae,1.375,22.633744856,2
Tamura,JARPNII Review,2016,Tamura | JARPNII Review | 2016,Scomber japonicus,Chordata,Teleostei,Perciformes,Scombridae,Scomber,japonicus,Teleostei,6.48,6.1225,Genus,Scomber,0.3575,5.5169753086,4
Tamura,JARPNII Review,2016,Tamura | JARPNII Review | 2016,Vinciguerria nimbaria,Chordata,Teleostei,Stomiiformes,Phosichthyidae,Vinciguerria,nimbaria,Teleostei,8.58,5.62,Broad group,Teleostei,2.96,34.4988344988,2
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Acteocina canaliculata,Mollusca,Gastropoda,Cephalaspidea,Cylichnidae,Acteocina,canaliculata,Mollusca (non-cephalopods),1.31,2.14,Broad group,Mollusca (non-cephalopods),0.83,63.358778626,3
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Amphitrite ornata,Annelida,Polychaeta,Terebellida,Terebellidae,Amphitrite,ornata,Annelida,1.27,1.28,Broad group,Annelida,0.01,0.7874015748,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Ampithoe longimana,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,longimana,Crustacea,4.435,3.9,Broad group,Crustacea,0.535,12.0631341601,2
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Anachis avara,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Anachis,avara,Mollusca (non-cephalopods),1.165,2.14,Broad group,Mollusca (non-cephalopods),0.975,83.6909871245,4
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Anadara transversa,Mollusca,Bivalvia,Arcida,Arcidae,Anadara,transversa,Mollusca (non-cephalopods),0.764,2.14,Broad group,Mollusca (non-cephalopods),1.376,180.1047120419,2
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Anomia simplex,Mollusca,Bivalvia,Arcida,Anomiidae,Anomia,simplex,Mollusca (non-cephalopods),1.19,2.14,Broad group,Mollusca (non-cephalopods),0.95,79.8319327731,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Arbacia punctulata,Echinodermata,Echinoidea,Arbacioida,Arbaciidae,Arbacia,punctulata,Other invertebrates,0.209,3.0,Broad group,Other invertebrates,2.791,1335.4066985646,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Argopecten irradians,Mollusca,Bivalvia,Pectinida,Pectinidae,Argopecten,irradians,Mollusca (non-cephalopods),1.53,2.14,Broad group,Mollusca (non-cephalopods),0.61,39.8692810458,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Atrina serrata,Mollusca,Bivalvia,Pteriida,Pinnidae,Atrina,serrata,Mollusca (non-cephalopods),1.91,2.14,Broad group,Mollusca (non-cephalopods),0.23,12.0418848168,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Balanus balanoides,Arthropoda,Maxillopoda,Sessilia,Balanidae,Balanus,balanoides,Crustacea,2.045,3.9,Broad group,Crustacea,1.855,90.7090464548,2
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Bittium varium,Mollusca,Gastropoda,Cerithiida,Cerithiidae,Bittium,varium,Mollusca (non-cephalopods),1.68,2.14,Broad group,Mollusca (non-cephalopods),0.46,27.380952381,3
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Brevoortia tyrannus,Chordata,Teleostei,Clupeiformes,Clupeidae,Brevoortia,tyrannus,Teleostei,6.57,6.99,Family,Clupeidae,0.42,6.3926940639,3
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Callinectes sapidus,Arthropoda,Malacostraca,Decapoda,Portunidae,Callinectes,sapidus,Crustacea,3.86,5.55,Family,Portunidae,1.69,43.7823834197,2
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Chione cancellata,Mollusca,Bivalvia,Venerida,Veneridae,Chione,cancellata,Mollusca (non-cephalopods),0.9,2.14,Broad group,Mollusca (non-cephalopods),1.24,137.7777777778,5
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Crassostrea virginica,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,virginica,Mollusca (non-cephalopods),0.6755,2.14,Broad group,Mollusca (non-cephalopods),1.4645,216.8023686158,2
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Crepidula convexa,Mollusca,Gastropoda,Calyptraeida,Calyptraeidae,Crepidula,convexa,Mollusca (non-cephalopods),1.07,2.14,Broad group,Mollusca (non-cephalopods),1.07,100.0,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Crepidula fornicata,Mollusca,Gastropoda,Calyptraeida,Calyptraeidae,Crepidula,fornicata,Mollusca (non-cephalopods),1.19,2.14,Broad group,Mollusca (non-cephalopods),0.95,79.8319327731,2
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Diopatra cuprea,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra,cuprea,Annelida,5.5,1.28,Broad group,Annelida,4.22,76.7272727273,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Fundulus heteroclitus,Chordata,Teleostei,Cyprinodontiformes,Fundulidae,Fundulus,heteroclitus,Teleostei,5.48,5.62,Broad group,Teleostei,0.14,2.5547445255,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Fundulus majalis,Chordata,Teleostei,Cyprinodontiformes,Fundulidae,Fundulus,majalis,Teleostei,6.17,5.62,Broad group,Teleostei,0.55,8.9141004862,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Gammarus mucronatus,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,mucronatus,Crustacea,4.335,3.9,Broad group,Crustacea,0.435,10.0346020761,2
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Gilvossius setimanus,Arthropoda,Malacostraca,Decapoda,Callianassidae,Gilvossius,setimanus,Crustacea,4.67,3.9,Broad group,Crustacea,0.77,16.4882226981,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Gobiosoma bosc,Chordata,Teleostei,Perciformes,Gobiidae,Gobiosoma,bosc,Teleostei,6.39,4.26,Family,Gobiidae,2.13,33.3333333333,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Ischadium recurvum,Mollusca,Bivalvia,Mytilida,Mytilidae,Ischadium,recurvum,Mollusca (non-cephalopods),2.58,2.14,Broad group,Mollusca (non-cephalopods),0.44,17.0542635659,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Lagodon rhomboides,Chordata,Teleostei,Perciformes,Sparidae,Lagodon,rhomboides,Teleostei,4.51,6.9,Family,Sparidae,2.39,52.9933481153,3
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Leiostomus xanthurus,Chordata,Teleostei,Perciformes,Sciaenidae,Leiostomus,xanthurus,Teleostei,4.86,5.56,Family,Sciaenidae,0.7,14.4032921811,2
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Libinia dubia,Arthropoda,Malacostraca,Decapoda,Pisidae,Libinia,dubia,Crustacea,5.5,3.9,Broad group,Crustacea,1.6,29.0909090909,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Lolliguncula brevis,Mollusca,Cephalopoda,Teuthida,Loliginidae,Lolliguncula,brevis,Cephalopoda,4.4,4.8,Family,Loliginidae,0.4,9.0909090909,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Macoma balthica,Mollusca,Bivalvia,Sphaeriida,Tellinidae,Macoma,balthica,Mollusca (non-cephalopods),1.68,2.14,Broad group,Mollusca (non-cephalopods),0.46,27.380952381,2
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Macoma tenta,Mollusca,Bivalvia,Sphaeriida,Tellinidae,Macoma,tenta,Mollusca (non-cephalopods),1.645,2.14,Broad group,Mollusca (non-cephalopods),0.495,30.0911854103,2
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Mercenaria mercenaria,Mollusca,Bivalvia,Venerida,Veneridae,Mercenaria,mercenaria,Mollusca (non-cephalopods),0.762,2.14,Broad group,Mollusca (non-cephalopods),1.378,180.8398950131,3
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Micropogonias undulatus,Chordata,Teleostei,Perciformes,Sciaenidae,Micropogonias,undulatus,Teleostei,4.6,5.56,Family,Sciaenidae,0.96,20.8695652174,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Mitrella lunata,Mollusca,Gastropoda,Neogastropoda,Columbellidae,Mitrella,lunata,Mollusca (non-cephalopods),2.37,2.14,Broad group,Mollusca (non-cephalopods),0.23,9.7046413502,3
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Modiolus demissus,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,demissus,Mollusca (non-cephalopods),2.52,2.14,Broad group,Mollusca (non-cephalopods),0.38,15.0793650794,2
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Molgula manhattensis,Chordata,Ascidiacea,Pleurogona,Molgulidae,Molgula,manhattensis,Other invertebrates,0.916,3.0,Broad group,Other invertebrates,2.084,227.5109170306,1
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Mugil cephalus,Chordata,Teleostei,Mugiliformes,Mugilidae,Mugil,cephalus,Teleostei,5.32,6.14,Family,Mugilidae,0.82,15.4135338346,2
Thayer et al.,Fishery Bulletin,1973,Thayer et al. | Fishery Bulletin | 1973,Mytilus edulis,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,edulis,Mollusca (non-cephalopods),2.83,2.14,Broad group,Mollusca (non-cephalopods),0.69,24.3816254417,1
